公司名稱,產業類別,公司代號,員工福利平均數(仟元/人),員工薪資平均數(仟元/人),非擔任主管職務之全時員工薪資平均數(仟元/人),非擔任主管之全時員工薪資中位數(仟元/人),管理職女性主管占比,職業災害人數及比率-人數,職業災害人數及比率-比率,用水量(公噸),用水密集度-密集度(公噸/單位),公司年度召開法說會次數(次),使用率(再生能源/總能源),範疇一-排放量(噸CO2e),範疇二-排放量(噸CO2e),範疇三-排放量(噸CO2e),溫室氣體排放密集度-密集度(噸CO2e/單位),董事席次(含獨立董事)(席),獨立董事席次(席),女性董事席次及比率-席,女性董事席次及比率-比率,董事出席董事會出席率,董監事進修時數符合進修要點比率,有害廢棄物量-數據(公噸),非有害廢棄物量-數據(公噸),總重量(有害+非有害)-數據(公噸),廢棄物密集度-密集度(公噸/單位),E,S,G,ESG
台泥,水泥工業,1101,1184,1043,1082,958,0.2621,1,0.0009,2996430,0.4821,1,0.0001,4798945,220392,29575,0.807,15,5,4,0.27,0.9619,1,0,2883.55,2883.55,0.0005,1,1,1,1
亞泥,水泥工業,1102,1353,1214,1110,1003,0.2231,0,0,2462000,0.668,18,0,2967231,172203,419501,0.852,14,3,0,0,0.97,1,0,1769.975,3816,0.001,1,1,1,1
嘉泥,水泥工業,1103,1797,1553,1139,923,0.4,0,0,122,0.0555,4,5.00E-05,209.1565,4007.2,1353.95,0.0027,7,3,0,0,0.9592,1,0,370.595,239.975,0.0001,1,1,1,1
環泥,水泥工業,1104,992,842,760,678,0.1847,0,0,19100,0.005,2,5.00E-05,18362,18273,210427.475,0.0095,7,3,0,0,1,1,0,656.4,656.4,0.0002,1,1,1,1
幸福,水泥工業,1108,640,523,523,478,0.2857,3,0.0066,972782,1.572,1,5.00E-05,568272.2,39493.34,210427.475,0.52,7,3,2,0.2857,1,1,0,370.595,386.68,0.00015,1,1,1,1
信大,水泥工業,1109,772,641,664,624,0.3,0,0,224407.04,0.01515,1,5.00E-05,574039.84,43746.29,210427.475,0.02175,9,3,1,0.1111,0.9388,0.2222,0,370.595,116.96,0.00015,1,1,1,1
東泥,水泥工業,1110,776,615,603,587,0.1765,1,0.0133,17600,0.0253,1,5.00E-05,2738,20881,210427.475,0.034,10,3,1,0.1,0.975,1,0,84.79,84.79,0.0001,1,1,1,1
味全,食品工業,1201,887,745,735,657,0.2838,6,0.0437,1906416,12.82,1,0.1345,11135.17,21106.03,4026.055,0.22,9,3,0,0,0.956,1,1.32,4384.23,4385.55,0.029,1,1,1,1
味王,食品工業,1203,649,566,585,555,0.0882,5,0.0069,325390,146.457,1,0.1345,7168.95,4233.84,2413.9771,5.132,15,3,1,0.067,0.744,0.133,3.2,974.6,977.8,0.44,1,1,1,1
大成,食品工業,1210,827,696,697,598,0.15,13,0.0055,295754.5,53.643,2,0.1345,2308.365,10434.95,2413.9771,0.51705,10,3,0,0,0.9667,1,0.51205,2314.055,2314.565,0.18825,1,1,1,1
