,公司代號,公司名稱,產業類別,員工福利平均數(仟元/人),員工薪資平均數(仟元/人),非擔任主管職務之全時員工薪資平均數(仟元/人),非擔任主管之全時員工薪資中位數(仟元/人),管理職女性主管占比,職業災害人數及比率-人數,職業災害人數及比率-比率,用水量(公噸),用水密集度-密集度(公噸/單位),公司年度召開法說會次數(次),使用率(再生能源/總能源),範疇一-排放量(噸CO2e),範疇二-排放量(噸CO2e),範疇三-排放量(噸CO2e),溫室氣體排放密集度-密集度(噸CO2e/單位),董事席次(含獨立董事)(席),獨立董事席次(席),女性董事席次及比率-比率,董事出席董事會出席率,有害廢棄物量-數據(公噸),非有害廢棄物量-數據(公噸),總重量(有害+非有害)-數據(公噸),廢棄物密集度-密集度(公噸/單位),E,S,G,ESG,ESG_ByPR
0,1101,台泥,水泥工業,85,85,85,29,85,15,43,15,43,57,29,15,15,29,43,15,99,29,99,99,71,71,99,1,1,1,1,54
1,1102,亞泥,水泥工業,99,99,99,15,71,99,99,29,29,99,99,29,29,15,29,29,85,99,15,85,57,57,15,1,1,1,1,62
2,1103,嘉泥,水泥工業,71,71,71,43,29,85,85,85,57,85,85,99,99,99,99,99,71,43,29,71,85,85,85,1,1,1,1,74
3,1104,環泥,水泥工業,57,57,57,57,15,71,57,57,85,71,71,71,71,85,85,85,57,85,85,57,15,15,43,1,1,1,1,61
4,1108,幸福,水泥工業,15,15,15,99,99,29,29,43,15,43,57,43,43,71,57,71,43,15,71,43,43,43,71,1,1,1,1,45
5,1109,信大,水泥工業,29,29,43,85,43,57,71,71,71,29,43,57,57,43,15,57,29,57,43,29,29,29,57,1,1,1,1,49
6,1110,東泥,水泥工業,43,43,29,71,57,43,15,99,99,15,15,85,85,57,71,43,15,71,57,15,99,99,29,1,1,1,1,53
7,1201,味全,食品工業,51,51,59,51,55,35,47,15,23,83,71,39,27,35,43,59,55,99,67,43,31,31,27,1,1,1,1,51
8,1203,味王,食品工業,31,31,31,75,19,31,15,99,83,43,51,59,67,87,39,15,51,75,15,19,87,75,51,1,1,1,1,52
9,1210,大成,食品工業,39,39,55,63,39,19,27,47,51,95,95,63,51,19,63,27,15,95,59,95,39,39,35,1,1,1,1,54
