公司代號,公司名稱,產業類別,直接(範疇一)溫室氣體排放量(公噸CO₂e),能源間接(範疇二)溫室氣體排放量(公噸CO₂e),其他間接(範疇三)溫室氣體排放量(公噸CO₂e),溫室氣體排放密集度,再生能源使用率,用水量(公噸(t)),用水密集度,有害廢棄物(公噸(t)),非有害廢棄物(公噸(t)),總重量(有害+非有害)(公噸(t)),廢棄物密集度,員工福利平均數(仟元/人),員工薪資平均數(仟元/人),非擔任主管職務之全時員工薪資平均數(仟元/人),非擔任主管職務之全時員工薪資中位數(仟元/人),管理職女性主管占比,職業災害人數,職業災害比率,火災件數,火災死傷人數,火災比率(死傷人數/員工總人數),董事會席次(席),獨立董事席次(席),女性董事比率,董事出席董事會出席率,公司年度召開法說會次數(次),ESG,E,S,G
1101,台泥,水泥工業,3526429.66,224308.14,6977983.29,140.4042,0.0006,12657.93,0.1821,0,105940.35,105940.35,1.5237,1139,973,994,871,0.189,13,0.0015,0,0,0,15,5,0.2667,0.9897,3,78,90,60,81
1102,亞泥,水泥工業,2639181.69,167144.1,103836.53,251.91,0.0001,2636000,0.815,0,2772,2772,0.248,1299,1188,1083,941,0.23,1,0.002,0,0,0,15,5,0.13,0.9452,4,76,81,63,81
1103,嘉泥,水泥工業,972.7627,7015.32,2496.18,2.7435,5.00E-05,172835,59.3611,0,0,378,0.1298,1209,979,869,800,0.3707,4,0.0095,0,0,0,7,3,0.1429,0.9841,4,58,48,45,83
1104,環泥,水泥工業,36156.32,19673.93,12636.27,12,0,287936.2,0.062,0,12203,12203,0.0026,981,833,814,745,0.0634,3,0.0063,1,0,0,7,4,0.1429,1,2,54,35,60,74
1108,幸福,水泥工業,572909.78,46704.2,13973.825,165.2337,5.00E-05,852532,1.3644,0,6160.99,6160.99,0.0103,701,573,593,516,0.2857,0,0,0,0,0,7,3,0.2857,1,1,65,54,73,72
1109,信大,水泥工業,552623.04,41137.36,15311.38,97.3,5.00E-05,307431,49.11,0,118.98,118.98,0.018,815,676,683,650,0.125,0,0,0,0,0,9,3,0.1111,0.9722,1,59,57,63,60
1110,東泥,水泥工業,2206.94,11202.11,7566.225,6.55,0.0003,11385,0.0306,0,49.66,49.66,0.0001,899,713,763,673,0.33,0,0,0,0,0,11,3,0.2727,0.973,1,68,80,55,63
1201,味全,食品工業,12331.44,20524.32,686952.755,4.1286,0.01035,1736971,12.51,1.372,11587.7,11589.07,0.0849,885,743,728,673,0.26,2,0.0015,0,0,0,9,3,0,0.978,1,60,65,53,66
1203,味王,食品工業,6510.68,4049.28,3892.125,4.798,0,294938,133,2.7,648.4,651.1,0.29,658,567,600,574,0.125,7,0.0163,0,0,0,15,3,0.0667,0.7714,1,55,65,53,52
1210,大成,食品工業,27781.2,46852.59,1368468.26,4.2118,0,1575242,0.98,0,33334.48,33334.48,0.3775,883,743,756,634,0.2082,13,0.0047,1,0,0,8,3,0,0.9773,4,54,25,55,67
1213,大飲,食品工業,1994.885,3097.74,4330.41,1.40305,0.025,83903,597.2372,0,42.677,42.677,0.3038,532,436,398,383,0.42,0,0,0,0,0,9,3,0.111,0.98,1,57,55,58,57
1215,卜蜂,食品工業,25269.72,39966.14,6012.815,3.92,0.0014,1073624,416.18155,0,22291,22291,0.905,900,777,712,563,0.2718,25,0.01,0,0,0,8,3,0,0.9843,1,60,65,55,63
1216,統一,食品工業,64903,104018,1398218,34.76,0,4318361,0.89,2,40957,40959,8.43,1364,1204,1182,1006,0.2468,1,0.0002,0,0,0,14,4,0.1429,0.9727,5,70,69,60,80
1217,愛之味,食品工業,1762.13,5535.55,2347,2.5802,0,377996,0.051,0,2618.4,2618.4,0.3566,768,638,682,583,0.2609,6,0.0456,0,0,0,9,3,0,0.8444,1,58,53,58,61
1218,泰山,食品工業,4441.76,6498.6,3861.37,1.1251,0.6034,693490,828.3445,4,1500,1504,1.7965,779,620,595,547,0.042,4,0.006,0,0,0,9,3,0.222,0.94,1,70,70,80,60
1219,福壽,食品工業,7546.46,12151.69,4437.6,1.61,0,465717,28.5477,0,5821.93,5821.93,0.3569,809,671,665,606,0.109,3,0.0049,1,0,0,9,3,0.22,0.9429,1,66,69,55,75
1220,台榮,食品工業,22252.12,13601.53,49692.405,20.2448,0.3017,694990,4.8303,0,636.5,636.5,0.0044,760,648,621,578,0.0347,1,0.0039,0,0,0,13,3,0.1667,0.97,1,55,74,50,50
1225,福懋油,食品工業,2772.24,2582.94,5437.25,0.4966,0,89418.5,335.6966,0.237,667.275,667.512,0.44025,881,737,690,631,0.0747,0,0,0,0,0,9,3,0.2222,0.9524,1,58,53,55,63
1227,佳格,食品工業,12435.24,15588.66,95523.44,1.7507,0.3017,675320,42.38,5.13,5877.24,5882.37,0.3675,1176,953,829,736,0.3836,9,0.0044,0,0,0,8,4,0.125,0.85,1,61,40,58,74
1229,聯華,食品工業,1675.72,18066.05,3223.57,1.2237,0.025,53221.39,6.8287,0,306.633,306.633,0.0393,3133,2857,771,703,0.22,0,0,0,0,0,9,2,0.1111,0.9828,2,62,53,55,73
1231,聯華食,食品工業,8055.72,15541.26,4937.425,2.17,0.3017,555750,51.2,0,8023.72,8023.72,0.74,845,705,687,595,0.4149,48,0.0198,1,22,0.009,9,3,0.2222,0.984,1,69,63,70,70
1232,大統益,食品工業,12072.14,97318.69,3892.125,5.917,0.0036,285263,15.4295,0,2335,2335,0.1263,1960,1729,1576,1392,0.2609,0,0,0,0,0,11,3,0,0.9697,1,63,67,60,65
1233,天仁,食品工業,1217.53,3612.54,4330.41,2.3095,0.025,94934,74.156,0,1206.2,1206.2,0.5767,540,451,621,530,0.7174,9,0.0064,0,0,0,9,3,0,0.9778,1,68,58,73,69
1234,黑松,食品工業,9555.85,14736.97,6588.38,2.6457,0.0136,804000,4.0186,0,2697,2697,0.0135,994,824,837,756,0.1798,1,0.0018,0,0,0,13,3,0.1538,0.9359,1,69,79,60,73
1235,興泰,食品工業,866.9747,255.915,4330.41,14.8297,0.025,3599,47.531,0.1185,490.56355,490.68205,0.0691,474,381,434,459,0.3333,0,0,0,0,0,7,3,0.1429,0.9714,1,57,45,65,56
1236,宏亞,食品工業,2451,7810,4330.41,4.84,0.05,47760,8.6398,0,540.97,540.97,0.0691,613,503,527,462,0.57,7,0.01,0,0,0,7,4,0.57,0.97,1,69,55,70,75
1256,鮮活果汁-KY,食品工業,2418.47,15745.02,3892.125,4.6638,0,419808,90.6328,1.2542,6264.81,6266.06,1.6089,1028.5,868,812.5,710.5,0.3939,18,0.0173,0,0,0,8,3,0.125,0.98,1,56,44,53,66
1301,台塑,塑膠工業,3542116,4463433,11845359,53.2422,0,22741411,151.25,2988,213956,216944,1.4428,1545,1362,1364,1238,0.078,2,0.0017,0,0,0,15,4,0.1333,0.9419,4,70,68,63,81
1303,南亞,塑膠工業,1410260,2398374,11608872,31.47,0,11836750,97.79,17019.48,79026.08,96045.56,0.79,1200,1042,1188,1105,0.042,4,0.0004,0,0,0,15,3,0.13,0.9778,4,76,96,48,80
1304,台聚,塑膠工業,21074.09,121600.97,493680.05,12.46,0,969538,4.46,78.22,450.24,528.46,0.002,1395,1156,1219,1110,0.011,1,0.0022,0,0,0,9,4,0,0.9259,4,66,62,58,81
1305,華夏,塑膠工業,151301.44,168305,319606.44,23.32,0,2734475.96,2.94,197.95,4725.93,4923.88,0.0053,1136,958,949,906,0.0471,5,0.006,0,0,0,8,3,0,0.9143,4,59,60,35,80
1307,三芳,塑膠工業,2930.6,15924.4,7016.5,29.52,0.63,140800,27.668,257,639,896,0.3318,1220,1064,848,808,0.078,12,0.021,0,0,0,7,3,0,0.91,1,72,76,70,70
1308,亞聚,塑膠工業,9920,98816,223065,16.19,0,489730,3.7,0,575.04,575.04,0.004,1511,1290,1283,1199,0.0417,0,0,0,0,0,9,4,0,0.9167,2,64,60,63,71
1309,台達化,塑膠工業,15747.99,60473.76,82200.29,5.01,0,927767,0.9867,0,3986.9,3986.9,0.0089,1231,1035,1031,968,0.1964,0,0,0,0,0,8,3,0.13,0.9722,2,62,63,45,77
