,股票代號,公司名稱,直接(範疇一)溫室氣體排放量(公噸CO₂e),能源間接(範疇二)溫室氣體排放量(公噸CO₂e),其他間接(範疇三)溫室氣體排放量(公噸CO₂e),溫室氣體排放密集度,用水量(公噸(t)),用水密集度,有害廢棄物(公噸(t)),非有害廢棄物(公噸(t)),總重量(有害+非有害)(公噸(t)),廢棄物密集度,再生能源使用率,員工福利平均數(仟元/人),員工薪資平均數(仟元/人),非擔任主管職務之全時員工薪資平均數(仟元/人),非擔任主管職務之全時員工薪資中位數(仟元/人),管理職女性主管占比,職業災害人數,職業災害比率,火災件數,火災死傷人數,火災比率(死傷人數/員工總人數),董事會席次(席),獨立董事席次(席),董事出席董事會出席率,女性董事席次及比率,女性董事席次及比率,薪酬委員會席次(席),薪酬委員會獨立董事席次(席),審計委員會席次(席),審計委員會出席率,公司年度召開法說會次數(次)
1101,1101,台泥,"3,526,429.66","224,308.14","6,977,983.29",140.4042,"12,657.93",0.1821,0,"105,940.35","105,940.35",1.5237,0.06%,"1,139",973,994,871,18.90%,13,0.15%,0,0,0,15,5,98.97%,4,26.67%,5,5,5,100.00%,3
1102,1102,亞泥,"2,639,181.69","167,144.10","103,836.53",251.91,"2,636,000.00",0.815,0,"2,772.00","2,772.00",0.248,0.01%,"1,299","1,188","1,083",941,23.00%,1,0.20%,0,0,0,15,5,94.52%,2,13.00%,3,2,5,100.00%,4
1103,1103,嘉泥,972.7627,"7,015.32","2,496.18",2.7435,"172,835.00",59.3611,0,0,378,0.1298,,"1,209",979,869,800,37.07%,4,0.95%,0,0,0,7,3,98.41%,1,14.29%,3,2,3,95.24%,4
1104,1104,環泥,"36,156.32","19,673.93","12,636.27",12,"287,936.20",0.062,0,"12,203.00","12,203.00",0.0026,0.00%,981,833,814,745,6.34%,3,0.63%,1,0,0.00%,7,4,100.00%,1,14.29%,4,3,4,100.00%,2
1108,1108,幸福,"572,909.78","46,704.20",,165.2337,"852,532.00",1.3644,,,,,,701,573,593,516,28.57%,0,0.00%,0,0,0,7,3,100.00%,2,28.57%,3,2,3,100.00%,1
1109,1109,信大,"552,623.04","41,137.36","15,311.38",97.3,"307,431.00",49.11,0,118.98,118.98,0.018,,815,676,683,650,12.50%,0,0.00%,0,0,0,9,3,97.22%,1,11.11%,3,2,3,100.00%,1
1110,1110,東泥,"2,206.94","11,202.11",,6.55,"11,385.00",0.0306,0,49.66,49.66,0.0001,,899,713,763,673,33.00%,0,0.00%,0,0,0,11,3,97.30%,3,27.27%,3,3,3,100.00%,1
1201,1201,味全,"12,331.44","20,524.32",,4.1286,"1,736,971.00",12.51,1.372,"11,587.70","11,589.07",0.0849,,885,743,728,673,26.00%,2,0.15%,0,0,0,9,3,97.80%,0,0.00%,3,3,3,100.00%,1
1203,1203,味王,"6,510.68","4,049.28",,4.798,"294,938.00",133,2.7,648.4,651.1,0.29,,658,567,600,574,12.50%,7,1.63%,0,0,0,15,3,77.14%,1,6.67%,3,2,3,93.33%,1
1210,1210,大成,"27,781.20","46,852.59","1,368,468.26",,"1,575,242.00",0.98,0,"33,334.48","33,334.48",,0.00%,883,743,756,634,20.82%,13,0.47%,1,0,0.00%,8,3,97.73%,0,0.00%,3,3,3,100.00%,4
